"id","recurso_id","projeto_id","data_inicio_alocacao","data_fim_alocacao","data_criacao","data_atualizacao","equipe_id","observacao","status_alocacao_id","periodo","esforco_estimado","esforco_planejado"
902,87,911,"2025-01-01",NULL,"2025-07-21 18:34:04.264031","2025-07-21 18:34:04.264031",14,"teste create alocacao",3,"[""2025-01-01 00:00:00"",infinity)",NULL,NULL
784,87,4306,"2025-06-02","2025-06-30","2025-06-25 20:04:23.216054","2025-06-25 20:04:23.216054",NULL,NULL,NULL,"[""2025-06-02 00:00:00"",""2025-06-30 00:00:00"")",NULL,NULL
903,87,4362,"2025-01-01",NULL,"2025-07-21 19:10:45.98369","2025-07-21 19:10:45.98369",14,"teste create alocacao",3,"[""2025-01-01 00:00:00"",infinity)",NULL,NULL
785,87,4307,"2025-06-02","2025-06-30","2025-06-25 20:09:56.468607","2025-06-25 20:09:56.468607",NULL,NULL,NULL,"[""2025-06-02 00:00:00"",""2025-06-30 00:00:00"")",NULL,NULL
786,87,4308,"2025-06-02","2025-06-30","2025-06-25 20:10:48.889998","2025-06-25 20:10:48.889998",NULL,NULL,NULL,"[""2025-06-02 00:00:00"",""2025-06-30 00:00:00"")",NULL,NULL
787,87,4309,"2025-06-02","2025-06-30","2025-06-25 20:13:12.811865","2025-07-21 11:35:47.383729",NULL,"",3,"[""2025-06-02 00:00:00"",""2025-06-30 00:00:00"")","0.00",NULL
788,87,4310,"2025-06-02","2025-06-30","2025-06-25 20:13:55.800381","2025-07-21 11:35:47.445677",NULL,"",3,"[""2025-06-02 00:00:00"",""2025-06-30 00:00:00"")","0.00",NULL
400,87,1618,"2025-01-01",NULL,"2025-06-04 16:06:04.979085","2025-07-21 11:35:42.747931",14,"",3,"[""2025-01-01 00:00:00"",infinity)","0.00",NULL
401,87,1619,"2025-01-01",NULL,"2025-06-04 16:06:04.979085","2025-07-21 11:35:45.205205",14,"",3,"[""2025-01-01 00:00:00"",infinity)","0.00",NULL
402,87,1620,"2025-01-01",NULL,"2025-06-04 16:06:04.979085","2025-07-21 11:35:43.927358",14,"",3,"[""2025-01-01 00:00:00"",infinity)","0.00",NULL
403,87,1621,"2025-01-01",NULL,"2025-06-04 16:06:04.979085","2025-07-21 11:35:45.671743",14,"",3,"[""2025-01-01 00:00:00"",infinity)","0.00",NULL
404,87,1622,"2025-01-01",NULL,"2025-06-04 16:06:04.979085","2025-07-21 11:35:46.723966",14,"",3,"[""2025-01-01 00:00:00"",infinity)","0.00",NULL
405,87,1623,"2025-01-01",NULL,"2025-06-04 16:06:04.979085","2025-07-21 11:35:40.929913",14,"",3,"[""2025-01-01 00:00:00"",infinity)","0.00",NULL
406,87,1624,"2025-01-01",NULL,"2025-06-04 16:06:04.979085","2025-07-21 11:35:42.207444",14,"",3,"[""2025-01-01 00:00:00"",infinity)","0.00",NULL
407,87,1625,"2025-01-01",NULL,"2025-06-04 16:06:04.979085","2025-07-21 11:35:41.574006",14,"",3,"[""2025-01-01 00:00:00"",infinity)","0.00",NULL
408,87,1626,"2025-01-01",NULL,"2025-06-04 16:06:04.979085","2025-07-21 11:35:40.370207",14,"",3,"[""2025-01-01 00:00:00"",infinity)","0.00",NULL
409,87,1627,"2025-01-01",NULL,"2025-06-04 16:06:04.979085","2025-07-21 11:35:40.997807",14,"",3,"[""2025-01-01 00:00:00"",infinity)","0.00",NULL
789,87,4299,"2025-06-02","2025-06-30","2025-06-27 17:55:44.782588","2025-06-30 14:19:07.630564",NULL,"teste as 11:18 30/06/24 ",3,"[""2025-06-02 00:00:00"",""2025-06-30 00:00:00"")",NULL,NULL
790,87,4312,"2025-06-02","2025-07-30","2025-06-30 14:32:05.700562","2025-07-21 11:35:47.513986",NULL,"teste01",3,"[""2025-06-02 00:00:00"",""2025-07-30 00:00:00"")","100.00",NULL
