jira_worklog_id,jira_user_id
1017734,557058:bca80583-58de-4da5-9b7f-93dcc8f9dd27
1017735,557058:bca80583-58de-4da5-9b7f-93dcc8f9dd27
1027456,712020:aad81c3d-eb9b-439b-89f1-7144ba810218
1027457,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1027458,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1027459,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1027460,712020:aad81c3d-eb9b-439b-89f1-7144ba810218
1027461,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1027462,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1027463,712020:aad81c3d-eb9b-439b-89f1-7144ba810218
1027464,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1027465,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1027466,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1027467,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1027468,712020:aad81c3d-eb9b-439b-89f1-7144ba810218
1027469,712020:aad81c3d-eb9b-439b-89f1-7144ba810218
1027470,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1027471,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1027472,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1027473,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1027474,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1027475,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1027476,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1027477,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1027478,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1027479,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1027480,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1027481,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1027482,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1027483,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1027484,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1027485,712020:aad81c3d-eb9b-439b-89f1-7144ba810218
1027486,712020:aad81c3d-eb9b-439b-89f1-7144ba810218
1027487,712020:aad81c3d-eb9b-439b-89f1-7144ba810218
1027488,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1027489,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1027490,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1027491,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1027492,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1027493,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1027494,712020:5c9028a1-32be-458e-afa5-10d4c32f425f
1027495,712020:aad81c3d-eb9b-439b-89f1-7144ba810218
